fiets	vélo
zwart	noir
blauw	bleu
kat	chat
koffie	café
vier	quatre
vriend	ami
grijs	gris
huis	maison
keuken	cuisine
geld	argent
moeder	mère
naam	nom
een	un
manier	route
zeven	sept
straat	rue
temperatuur	température
twee	deux
vrouw	épouse
woord	mot
geel	jaune
appel	pomme
augustus	août
strijd	bataille
bier	bière
boek	livre
kaas	fromage
kip	poulet
stad	ville
klok	horloge
dochter	fille
dag	jour
acht	huit
oog	œil
vader	père
februari	février
vuur	feu
vijf	cinq
bloem	fleur
voedsel	nourriture
tuin	jardin
paard	cheval
eiland	île
januari	janvier
juli	juillet
juni	juin
koning	roi
liefde	amour
maart	mars
vlees	viande
melk	lait
maand	mois
oktober	octobre
broek	pantalon
rood	rouge
rechts	droite
zus	sœur
zes	six
winkel	magasin
zoon	fils
zomer	été
zon	soleil
tien	dix
tekst	texte
bedankt	merci
drie	trois
wijn	vin
