fiets	bicicleta
blauw	azul
ei	ovo
grijs	cinza
huis	casa
keuken	cozinha
geld	dinheiro
moeder	mãe
nacht	noite
manier	estrada
straat	rua
vrouw	esposa
woord	palavra
jaar	ano
acteur	ator
actrice	atriz
augustus	agosto
strijd	batalha
bier	cerveja
boek	livro
kaas	queijo
kip	frango
stad	cidade
klok	relógio
maïs	milho
dochter	filha
acht	oito
vader	pai
februari	fevereiro
vuur	fogo
voedsel	comida
tuin	jardim
eiland	ilha
januari	janeiro
juli	julho
juni	junho
koning	rei
maand	mês
nieuws	notícias
oktober	outubro
pakket	pacote
broek	calça
politie	polícia
zus	irmã
winkel	loja
zoon	filho
zomer	verão
bedankt	obrigado
trein	trem
Universiteit	Universidade
wijn	vinho
