actor	acteur
actress	actrice
air	lucht
apple	appel
August	augustus
author	auteur
battle	strijd
beer	bier
bicycle	fiets
black	zwart
blood	bloed
blue	blauw
book	boek
cat	kat
cheese	kaas
chicken	kip
city	stad
clock	klok
coffee	koffie
corn	maïs
dark	donker
daughter	dochter
day	dag
egg	ei
eight	acht
eye	oog
father	vader
February	februari
fire	vuur
five	vijf
flower	bloem
food	voedsel
four	vier
friend	vriend
garden	tuin
gender	geslacht
gray	grijs
horse	paard
house	huis
island	eiland
January	januari
July	juli
June	juni
king	koning
kitchen	keuken
love	liefde
March	maart
meat	vlees
milk	melk
money	geld
month	maand
moon	maan
mother	moeder
name	naam
news	nieuws
night	nacht
normal	normaal
October	oktober
office	kantoor
one	een
package	pakket
pants	broek
police	politie
red	rood
right	rechts
road	manier
seven	zeven
sister	zus
six	zes
store	winkel
street	straat
son	zoon
summer	zomer
sun	zon
teacher	docent
temperature	temperatuur
ten	tien
text	tekst
thanks	bedankt
three	drie
tooth	tand
train	trein
two	twee
University	Universiteit
village	dorp
wife	vrouw
wine	wijn
word	woord
year	jaar
yellow	geel
