April	avril
August	août
December	décembre
February	février
January	janvier
July	juillet
June	juin
March	mars
May	mai
November	novembre
October	octobre
September	septembre
actor	acteur
actress	actrice
anger	colère
apple	pomme
banana	banane
battle	bataille
bedroom	chambre
beer	bière
bicycle	vélo
bird	oiseau
black	noir
blue	bleu
boat	bateau
book	livre
brake	frein
bread	pain
brother	frère
brown	marron
bus	autobus
camera	caméra
car	voiture
cat	chat
cheese	fromage
chicken	poulet
city	ville
clock	horloge
coffee	café
computer	ordinateur
country	pays
daughter	fille
day	jour
dictionary	dictionnaire
dog	chien
door	porte
down	bas
eight	huit
eleven	onze
engine	moteur
eye	œil
father	père
fear	peur
fifteen	quinze
fire	feu
fish	poisson
five	cinq
floor	plancher
flower	fleur
food	nourriture
forest	forêt
four	quatre
fourteen	quatorze
friend	ami
friendship	amitié
garden	jardin
gray	gris
green	vert
guitar	guitare
happiness	bonheur
hat	chapeau
he	il
horse	cheval
house	maison
hundred	cent
husband	mari
island	île
king	roi
kitchen	cuisine
lamp	lampe
leaf	feuille
left	gauche
love	amour
man	homme
meat	viande
member	membre
milk	lait
money	argent
month	mois
mother	mère
music	musique
name	nom
nine	neuf
north	nord
one	un
pants	pantalon
pen	stylo
person	personne
phone	téléphone
pink	rose
plane	avion
pride	fierté
purple	violet
red	rouge
rice	riz
right	droite
river	rivière
road	route
roof	toit
room	pièce
sadness	tristesse
salt	sel
school	école
seven	sept
she	elle
sister	sœur
six	six
sixteen	seize
son	fils
south	sud
store	magasin
street	rue
student	étudiant
subway	métro
summer	été
sugar	sucre
sun	soleil
table	tableau
tea	thé
team	équipe
temperature	température
ten	dix
text	texte
thanks	merci
thirteen	treize
three	trois
tree	arbre
truck	camion
twelve	douze
twenty	vingt
two	deux
up	haut
vacation	vacances
voice	voix
wall	mur
water	eau
we	nous
west	ouest
wheel	roue
white	blanc
wife	épouse
window	fenêtre
wine	vin
winter	hiver
word	mot
yellow	jaune
