bicycle	Fahrrad
car	Auto
cat	Katze
coffee	Kaffee
computer	Computer
dog	Hund
fish	Fisch
forest	Wald
four	vier
friend	Freund
house	Haus
money	Geld
mother	Mutter
music	Musik
school	Schule
street	Straße
tree	Baum
two	zwei
water	Wasser
we	wir
apple	Apfel
book	Buch
cheese	Käse
city	Stadt
eight	acht
father	Vater
five	fünf
flower	Blume
garden	Garten
island	Insel
July	Juli
June	Juni
love	Liebe
milk	Milch
pants	Hose
store	Geschäft
summer	Sommer
sun	Sonne
three	drei
bread	Brot
brother	Bruder
country	Land
door	Tür
hat	Hut
husband	Ehemann
river	Fluss
she	sie
tea	Tee
window	Fenster
bird	Vogel
phone	Telefon
student	Student
December	Dezember
winter	Winter
banana	Banane
boat	Schiff
friendship	Freundschaft
pen	Kugelschreiber
plane	Flugzeug
