actor	attore
April	aprile
August	agosto
author	autore
basket	cesto
bathroom	bagno
battle	battaglia
beer	birra
blood	sangue
blue	blu
boat	barca
book	libro
brother	fratello
building	edificio
bus	autobus
cat	gatto
cheese	formaggio
chocolate	cioccolato
city	città
clock	orologio
coffee	caffè
country	paese
daughter	figlia
day	giorno
December	dicembre
door	porta
down	giù
egg	uovo
engine	motore
father	padre
February	febbraio
fire	fuoco
five	cinque
floor	pavimento
flower	fiore
four	quattro
garden	giardino
gender	pavimento
gray	grigio
green	verde
guitar	chitarra
hair	capelli
happiness	felicità
hat	cappello
he	lui
honor	onore
horse	cavallo
hour	ora
house	casa
husband	marito
island	isola
January	gennaio
July	luglio
June	giugno
kitchen	cucina
lamp	lampada
love	amore
man	uomo
March	marzo
May	maggio
meat	carne
member	membro
money	soldi
month	mese
mother	madre
mouth	bocca
music	musica
name	nome
need	bisogno
news	notizia
night	notte
north	nord
November	novembre
October	ottobre
office	ufficio
oven	forno
package	pacchetto
pants	pantaloni
phone	telefono
pink	rosa
politics	politica
red	rosso
rice	riso
river	fiume
road	modo
September	settembre
she	lei
sister	sorella
son	figlio
store	negozio
street	strada
sugar	zucchero
table	tavolo
tea	tè
team	squadra
temperature	temperatura
ten	dieci
text	testo
thanks	grazie
three	tre
tooth	dente
train	treno
tree	albero
truck	camion
University	Università
vacation	vacanza
village	villaggio
voice	voce
wall	parete
water	acqua
white	bianco
wife	moglie
window	finestra
wine	vino
woman	donna
year	anno
