actor	aktor
author	autor
basket	kosz
black	czarny
blue	niebieski
camera	kamera
cat	kot
city	miasto
coffee	kawa
concert	koncert
country	kraj
day	dzień
door	drzwi
engine	silnik
eye	oko
flower	kwiat
gray	szary
guitar	gitara
hair	włosy
horse	koń
hundred	sto
love	miłość
machine	samochód
member	człon
man	człowiek
money	pieniądze
mother	matka
mouth	usta
name	nazwa
night	noc
north	północ
one	jeden
pants	spodnie
person	osoba
phone	telefon
red	czerwony
road	droga
she	ona
son	syn
store	sklep
street	ulica
table	tabela
team	zespół
text	tekst
thanks	dzięki
three	trzy
two	dwa
village	wieś
voice	głos
water	woda
white	biały
window	okno
woman	kobieta
year	rok
