actor	ator
actress	atriz
April	abril
August	agosto
bathroom	banheiro
battle	batalha
beer	cerveja
bicycle	bicicleta
blue	azul
book	livro
brake	freio
bread	pão
brother	irmão
building	prédio
camera	câmera
cheese	queijo
chicken	frango
city	cidade
clock	relógio
computer	computador
corn	milho
country	país
daughter	filha
December	dezembro
door	porta
egg	ovo
eight	oito
father	pai
February	fevereiro
fire	fogo
fish	peixe
food	comida
forest	floresta
fruit	fruta
garden	jardim
gray	cinza
hair	cabelo
happiness	felicidade
hat	chapéu
he	ele
honor	honra
house	casa
husband	marido
island	ilha
January	janeiro
July	julho
June	junho
king	rei
kitchen	cozinha
lamp	lâmpada
leaf	folha
machine	máquina
man	homem
May	poderia
money	dinheiro
month	mês
mother	mãe
mouth	boca
movie	filme
music	música
need	precisar
news	notícias
night	noite
north	norte
November	novembro
ocean	oceano
October	outubro
package	pacote
pants	calça
police	polícia
rice	arroz
river	rio
road	estrada
September	setembro
she	ela
sister	irmã
son	filho
store	loja
street	rua
sugar	açúcar
summer	verão
tea	chá
team	equipe
thanks	obrigado
train	trem
truck	caminhão
University	Universidade
vacation	férias
voice	voz
wall	parede
water	água
we	nós
wheel	roda
wife	esposa
window	janela
wine	vinho
winter	inverno
woman	mulher
word	palavra
year	ano
