actor	актер
actress	актриса
air	воздух
author	автор
bed	кровать
beer	пиво
bird	птица
black	черный
blood	кровь
blue	синий
book	книга
bread	хлеб
brother	брат
building	здание
camera	камера
car	автомобиль
cat	кот
cheese	сыр
chocolate	шоколад
city	город
clock	часы
coat	пальто
coffee	кофе
computer	компьютер
concert	концерт
country	страна
daughter	дочь
day	день
dictionary	словарь
dog	собака
door	дверь
down	вниз
education образование
egg	яйцо
engine	двигатель
engineer	инженер
eye	глаз
father	отец
fire	огонь
fish	рыба
five	пять
floor	пол
flower	цветок
forest	лес
four	четыре
garden	сад
gender	пол
gray	серый
green	зеленый
hair	волосы
happiness	счастье
hat	шапка
he	он
honor	честь
hour	час
house	дом
hundred	сто
husband	муж
island	остров
king	король
kitchen	кухня
lamp	лампа
leaf	лист
love	любовь
machine	машина
man	мужчина
meat	мясо
member	член
money	деньги
month	месяц
mother	мать
mouth	рот
movie	фильм
music	музыка
name	имя
need	нужда
news	Новости
night	ночь
north	север
office	офис
one	один
package	упаковка
pants	брюки
person	человек
phone	телефон
pink	розовый
politics	политика
president	президент
red	красный
rice	рис
river	река
road	дорога
salt	соль
school	школа
sea	море
she	она
sister	сестра
six	шесть
son	сын
store	магазин
street	улица
student	студент
summer	лето
sun	солнце
subway	метро
table	стол
tea	чай
teacher	учитель
team	команда
temperature	температура
ten	десять
text	текст
thanks	Спасибо
three	три
tooth	зуб
train	поезд
tree	дерево
two	два
up	вверх
village	деревня
voice	голос
water	вода
white	белый
wife	жена
window	окно
wine	вино
woman	женщина
year	год
