bicycle	bicicleta
car	coche
cat	gato
coffee	café
computer	ordenador
dog	perro
fish	pescado
forest	bosque
four	cuatro
friend	amigo
house	casa
money	dinero
mother	madre
music	música
school	escuela
seven	siete
two	dos
water	agua
we	nosotros
apple	manzana
August	agosto
book	libro
cheese	queso
chicken	pollo
city	ciudad
day	día
eight	ocho
father	padre
five	cinco
flower	flor
July	julio
June	junio
meat	carne
milk	leche
October	octubre
sister	hermana
six	seis
store	tienda
sun	sol
ten	diez
three	tres
bread	pan
brother	hermano
door	puerta
river	río
she	ella
tea	té
team	equipo
window	ventana
hundred	cien
phone	teléfono
December	diciembre
November	noviembre
September	septiembre
vacation	vacaciones
banana	plátano
boat	barco
eleven	once
fifteen	quince
fourteen	catorce
nine	nueve
pen	bolígrafo
plane	avión
sixteen	dieciséis
thirteen	trece
twelve	doce
twenty	veinte
