air	luft
bicycle	cykel
black	svart
blood	blod
blue	blå
car	bil
cat	katt
coffee	kaffe
computer	dator
dog	hund
down	ner
egg	ägg
fish	fisk
forest	skog
four	fyra
friend	vän
fruit	frukt
gender	kön
gray	grå
hair	hår
hope	hoppas
house	hus
kitchen	kök
member	medlem
money	pengar
mother	mor
mouth	mun
music	musik
name	namn
night	natt
normal	vanligt
ocean	hav
one	ett
rice	ris
road	sätt
school	skola
seven	sju
street	gata
temperature	temperatur
tree	träd
two	två
up	upp
water	vatten
we	vi
white	vit
wife	fru
woman	kvinna
word	ord
year	år
yellow	gul
