air	hava
April	Nisan
August	Ağustos
author	yazar
bathroom	banyo
battle	savaş
bed	yatak
beer	bira
bicycle	bisiklet
bird	kuş
black	siyah
blue	mavi
book	kitap
brake	fren
building	bina
cat	kedi
city	şehir
clock	saat
coffee	kahve
computer	bilgisayar
day	gün
December	Aralık
dog	köpek
door	kapı
eye	göz
February	Şubat
fire	ateş
five	beş
flower	çiçek
four	dört
friend	arkadaş
gray	gri
green	yeşil
guitar	gitar
hair	saç
hour	saat
hundred	yüz
January	Ocak
July	Temmuz
June	Haziran
king	kral
kitchen	mutfak
leaf	yaprak
love	aşk
March	Mart
May	Mayıs
money	para
music	müzik
name	isim
night	gece
November	Kasım
October	Ekim
one	bir
package	paket
pants	pantolon
person	kişi
pink	pembe
red	kırmızı
right	sağ
road	yol
school	okul
sea	deniz
September	Eylül
six	altı
street	sokak
sugar	şeker
summer	yaz
table	masa
tea	çay
team	takım
three	üç
tooth	diş
train	tren
two	iki
village	köy
voice	ses
wall	duvar
water	su
we	biz
white	beyaz
winter	kış
woman	kadın
word	kelime
year	yıl
yellow	sarı
