vélo	Fahrrad
voiture	Auto
chat	Katze
café	Kaffee
ordinateur	Computer
chien	Hund
poisson	Fisch
forêt	Wald
quatre	vier
ami	Freund
maison	Haus
argent	Geld
mère	Mutter
musique	Musik
école	Schule
rue	Straße
arbre	Baum
deux	zwei
eau	Wasser
nous	wir
pomme	Apfel
livre	Buch
fromage	Käse
ville	Stadt
huit	acht
père	Vater
cinq	fünf
fleur	Blume
jardin	Garten
île	Insel
juillet	Juli
juin	Juni
amour	Liebe
lait	Milch
pantalon	Hose
magasin	Geschäft
été	Sommer
soleil	Sonne
trois	drei
pain	Brot
frère	Bruder
pays	Land
porte	Tür
chapeau	Hut
mari	Ehemann
rivière	Fluss
elle	sie
thé	Tee
fenêtre	Fenster
oiseau	Vogel
téléphone	Telefon
étudiant	Student
décembre	Dezember
hiver	Winter
banane	Banane
bateau	Schiff
amitié	Freundschaft
stylo	Kugelschreiber
avion	Flugzeug
