bleu	blu
chat	gatto
café	caffè
bas	giù
quatre	quattro
gris	grigio
maison	casa
cuisine	cucina
membre	membro
argent	soldi
mère	madre
musique	musica
nom	nome
riz	riso
route	modo
rue	strada
température	temperatura
arbre	albero
eau	acqua
blanc	bianco
épouse	moglie
acteur	attore
août	agosto
bataille	battaglia
bière	birra
livre	libro
fromage	formaggio
ville	città
horloge	orologio
fille	figlia
jour	giorno
père	padre
février	febbraio
feu	fuoco
cinq	cinque
fleur	fiore
jardin	giardino
cheval	cavallo
île	isola
janvier	gennaio
juillet	luglio
juin	giugno
amour	amore
mars	marzo
viande	carne
mois	mese
octobre	ottobre
pantalon	pantaloni
rouge	rosso
sœur	sorella
magasin	negozio
fils	figlio
dix	dieci
texte	testo
merci	grazie
trois	tre
vin	vino
frère	fratello
pays	paese
porte	porta
bonheur	felicità
chapeau	cappello
il	lui
mari	marito
lampe	lampada
homme	uomo
rivière	fiume
elle	lei
thé	tè
équipe	squadra
voix	voce
fenêtre	finestra
moteur	motore
plancher	pavimento
vert	verde
téléphone	telefono
rose	rosa
tableau	tavolo
avril	aprile
décembre	dicembre
mai	maggio
septembre	settembre
sucre	zucchero
mur	parete
guitare	chitarra
vacances	vacanza
bateau	barca
