noir	czarny
bleu	niebieski
chat	kot
café	kawa
gris	szary
membre	człon
argent	pieniądze
mère	matka
nom	nazwa
un	jeden
route	droga
rue	ulica
deux	dwa
eau	woda
blanc	biały
acteur	aktor
ville	miasto
jour	dzień
œil	oko
fleur	kwiat
cheval	koń
amour	miłość
pantalon	spodnie
rouge	czerwony
magasin	sklep
fils	syn
texte	tekst
merci	dzięki
trois	trzy
caméra	kamera
pays	kraj
porte	drzwi
homme	człowiek
nord	północ
elle	ona
équipe	zespół
voix	głos
fenêtre	okno
moteur	silnik
cent	sto
personne	osoba
téléphone	telefon
tableau	tabela
guitare	gitara
