vélo	bicicleta
bleu	azul
ordinateur	computador
poisson	peixe
forêt	floresta
gris	cinza
maison	casa
cuisine	cozinha
argent	dinheiro
mère	mãe
musique	música
riz	arroz
route	estrada
rue	rua
eau	água
nous	nós
épouse	esposa
mot	palavra
acteur	ator
actrice	atriz
août	agosto
bataille	batalha
bière	cerveja
livre	livro
fromage	queijo
poulet	frango
ville	cidade
horloge	relógio
fille	filha
huit	oito
père	pai
février	fevereiro
feu	fogo
nourriture	comida
jardin	jardim
île	ilha
janvier	janeiro
juillet	julho
juin	junho
roi	rei
mois	mês
octobre	outubro
pantalon	calça
sœur	irmã
magasin	loja
fils	filho
été	verão
merci	obrigado
vin	vinho
pain	pão
frère	irmão
caméra	câmera
pays	país
porte	porta
bonheur	felicidade
chapeau	chapéu
il	ele
mari	marido
lampe	lâmpada
feuille	folha
homme	homem
nord	norte
rivière	rio
elle	ela
thé	chá
équipe	equipe
voix	voz
fenêtre	janela
avril	abril
frein	freio
décembre	dezembro
mai	poderia
novembre	novembro
septembre	setembro
sucre	açúcar
mur	parede
hiver	inverno
camion	caminhão
vacances	férias
roue	roda
