noir	черный
bleu	синий
voiture	автомобиль
chat	кот
café	кофе
ordinateur	компьютер
chien	собака
bas	вниз
poisson	рыба
forêt	лес
quatre	четыре
gris	серый
maison	дом
cuisine	кухня
membre	член
argent	деньги
mère	мать
musique	музыка
nom	имя
un	один
riz	рис
route	дорога
école	школа
rue	улица
température	температура
arbre	дерево
deux	два
haut	вверх
eau	вода
blanc	белый
épouse	жена
acteur	актер
actrice	актриса
bière	пиво
livre	книга
fromage	сыр
ville	город
horloge	часы
fille	дочь
jour	день
œil	глаз
père	отец
feu	огонь
cinq	пять
fleur	цветок
jardin	сад
île	остров
roi	король
amour	любовь
viande	мясо
mois	месяц
pantalon	брюки
rouge	красный
sœur	сестра
six	шесть
magasin	магазин
fils	сын
été	лето
soleil	солнце
dix	десять
texte	текст
merci	Спасибо
trois	три
vin	вино
pain	хлеб
frère	брат
caméra	камера
pays	страна
porte	дверь
bonheur	счастье
chapeau	шапка
il	он
mari	муж
lampe	лампа
feuille	лист
homme	мужчина
nord	север
rivière	река
elle	она
thé	чай
équipe	команда
voix	голос
fenêtre	окно
oiseau	птица
dictionnaire	словарь
moteur	двигатель
plancher	пол
vert	зеленый
cent	сто
personne	человек
téléphone	телефон
rose	розовый
sel	соль
étudiant	студент
métro	метро
tableau	стол
