vélo	bicicleta
voiture	coche
chat	gato
ordinateur	ordenador
chien	perro
poisson	pescado
forêt	bosque
quatre	cuatro
ami	amigo
maison	casa
argent	dinero
mère	madre
musique	música
école	escuela
sept	siete
deux	dos
eau	agua
nous	nosotros
pomme	manzana
août	agosto
livre	libro
fromage	queso
poulet	pollo
ville	ciudad
jour	día
huit	ocho
père	padre
cinq	cinco
fleur	flor
juillet	julio
juin	junio
viande	carne
lait	leche
octobre	octubre
sœur	hermana
six	seis
magasin	tienda
soleil	sol
dix	diez
trois	tres
pain	pan
frère	hermano
porte	puerta
rivière	río
elle	ella
thé	té
équipe	equipo
fenêtre	ventana
cent	cien
téléphone	teléfono
décembre	diciembre
novembre	noviembre
septembre	septiembre
vacances	vacaciones
banane	plátano
bateau	barco
onze	once
quinze	quince
quatorze	catorce
neuf	nueve
stylo	bolígrafo
avion	avión
seize	dieciséis
treize	trece
douze	doce
vingt	veinte
