vélo	bisiklet
noir	siyah
bleu	mavi
chat	kedi
café	kahve
ordinateur	bilgisayar
chien	köpek
quatre	dört
ami	arkadaş
gris	gri
cuisine	mutfak
argent	para
musique	müzik
nom	isim
un	bir
route	yol
école	okul
rue	sokak
deux	iki
eau	su
nous	biz
blanc	beyaz
mot	kelime
jaune	sarı
août	Ağustos
bataille	savaş
bière	bira
livre	kitap
ville	şehir
horloge	saat
jour	gün
œil	göz
février	Şubat
feu	ateş
cinq	beş
fleur	çiçek
janvier	Ocak
juillet	Temmuz
juin	Haziran
roi	kral
amour	aşk
mars	Mart
octobre	Ekim
pantalon	pantolon
rouge	kırmızı
droite	sağ
six	altı
été	yaz
trois	üç
porte	kapı
feuille	yaprak
thé	çay
équipe	takım
voix	ses
oiseau	kuş
vert	yeşil
cent	yüz
personne	kişi
rose	pembe
tableau	masa
avril	Nisan
frein	fren
décembre	Aralık
mai	Mayıs
novembre	Kasım
septembre	Eylül
sucre	şeker
mur	duvar
hiver	kış
guitare	gitar
