Auto	автомобиль
Katze	кот
Kaffee	кофе
Computer	компьютер
Hund	собака
Fisch	рыба
Wald	лес
vier	четыре
Haus	дом
Geld	деньги
Mutter	мать
Musik	музыка
Schule	школа
Straße	улица
Baum	дерево
zwei	два
Wasser	вода
Buch	книга
Käse	сыр
Stadt	город
Vater	отец
fünf	пять
Blume	цветок
Garten	сад
Insel	остров
Liebe	любовь
Hose	брюки
Geschäft	магазин
Sommer	лето
Sonne	солнце
drei	три
Brot	хлеб
Bruder	брат
Land	страна
Tür	дверь
Hut	шапка
Ehemann	муж
Fluss	река
sie	она
Tee	чай
Fenster	окно
Vogel	птица
Telefon	телефон
Student	студент
