Fahrrad	bicicleta
Auto	coche
Katze	gato
Kaffee	café
Computer	ordenador
Hund	perro
Fisch	pescado
Wald	bosque
vier	cuatro
Freund	amigo
Haus	casa
Geld	dinero
Mutter	madre
Musik	música
Schule	escuela
zwei	dos
Wasser	agua
wir	nosotros
Apfel	manzana
Buch	libro
Käse	queso
Stadt	ciudad
acht	ocho
Vater	padre
fünf	cinco
Blume	flor
Juli	julio
Juni	junio
Milch	leche
Geschäft	tienda
Sonne	sol
drei	tres
Brot	pan
Bruder	hermano
Tür	puerta
Fluss	río
sie	ella
Tee	té
Fenster	ventana
Telefon	teléfono
Dezember	diciembre
Banane	plátano
Schiff	barco
Kugelschreiber	bolígrafo
Flugzeug	avión
