blu	niebieski
gatto	kot
caffè	kawa
grigio	szary
capelli	włosy
membro	człon
soldi	pieniądze
madre	matka
bocca	usta
nome	nazwa
notte	noc
modo	droga
strada	ulica
acqua	woda
bianco	biały
donna	kobieta
anno	rok
attore	aktor
autore	autor
città	miasto
giorno	dzień
fiore	kwiat
cavallo	koń
amore	miłość
pantaloni	spodnie
rosso	czerwony
negozio	sklep
figlio	syn
testo	tekst
grazie	dzięki
tre	trzy
villaggio	wieś
paese	kraj
porta	drzwi
uomo	człowiek
nord	północ
lei	ona
squadra	zespół
voce	głos
finestra	okno
motore	silnik
telefono	telefon
tavolo	tabela
chitarra	gitara
cesto	kosz
