blu	azul
uovo	ovo
grigio	cinza
capelli	cabelo
cucina	cozinha
soldi	dinheiro
madre	mãe
bocca	boca
musica	música
notte	noite
riso	arroz
modo	estrada
strada	rua
acqua	água
moglie	esposa
donna	mulher
anno	ano
attore	ator
battaglia	batalha
birra	cerveja
libro	livro
formaggio	queijo
città	cidade
orologio	relógio
figlia	filha
padre	pai
febbraio	fevereiro
fuoco	fogo
giardino	jardim
isola	ilha
gennaio	janeiro
luglio	julho
giugno	junho
mese	mês
notizia	notícias
ottobre	outubro
pacchetto	pacote
pantaloni	calça
sorella	irmã
negozio	loja
figlio	filho
grazie	obrigado
treno	trem
Università	Universidade
vino	vinho
fratello	irmão
edificio	prédio
paese	país
felicità	felicidade
cappello	chapéu
lui	ele
onore	honra
marito	marido
lampada	lâmpada
uomo	homem
bisogno	precisar
nord	norte
fiume	rio
lei	ela
tè	chá
squadra	equipe
voce	voz
finestra	janela
aprile	abril
bagno	banheiro
dicembre	dezembro
maggio	poderia
novembre	novembro
settembre	setembro
zucchero	açúcar
parete	parede
camion	caminhão
vacanza	férias
