sangue	кровь
blu	синий
gatto	кот
caffè	кофе
giù	вниз
uovo	яйцо
quattro	четыре
pavimento	пол
grigio	серый
capelli	волосы
casa	дом
cucina	кухня
membro	член
soldi	деньги
madre	мать
bocca	рот
musica	музыка
nome	имя
notte	ночь
riso	рис
modo	дорога
strada	улица
temperatura	температура
albero	дерево
acqua	вода
bianco	белый
moglie	жена
donna	женщина
anno	год
attore	актер
autore	автор
birra	пиво
libro	книга
formaggio	сыр
città	город
orologio	часы
figlia	дочь
giorno	день
padre	отец
fuoco	огонь
cinque	пять
fiore	цветок
giardino	сад
isola	остров
amore	любовь
carne	мясо
mese	месяц
notizia	Новости
ufficio	офис
pacchetto	упаковка
pantaloni	брюки
rosso	красный
sorella	сестра
negozio	магазин
figlio	сын
dieci	десять
testo	текст
grazie	Спасибо
tre	три
dente	зуб
treno	поезд
villaggio	деревня
vino	вино
fratello	брат
edificio	здание
paese	страна
porta	дверь
felicità	счастье
cappello	шапка
lui	он
onore	честь
marito	муж
lampada	лампа
uomo	мужчина
bisogno	нужда
nord	север
fiume	река
lei	она
tè	чай
squadra	команда
voce	голос
finestra	окно
cioccolato	шоколад
motore	двигатель
pavimento	пол
verde	зеленый
ora	час
telefono	телефон
rosa	розовый
politica	политика
tavolo	стол
