blu	mavi
gatto	kedi
caffè	kahve
quattro	dört
grigio	gri
capelli	saç
cucina	mutfak
soldi	para
musica	müzik
nome	isim
notte	gece
modo	yol
strada	sokak
acqua	su
bianco	beyaz
donna	kadın
anno	yıl
agosto	Ağustos
autore	yazar
battaglia	savaş
birra	bira
libro	kitap
città	şehir
orologio	saat
giorno	gün
febbraio	Şubat
fuoco	ateş
cinque	beş
fiore	çiçek
gennaio	Ocak
luglio	Temmuz
giugno	Haziran
amore	aşk
marzo	Mart
ottobre	Ekim
pacchetto	paket
pantaloni	pantolon
rosso	kırmızı
tre	üç
dente	diş
treno	tren
villaggio	köy
edificio	bina
porta	kapı
tè	çay
squadra	takım
voce	ses
verde	yeşil
ora	saat
rosa	pembe
tavolo	masa
aprile	Nisan
bagno	banyo
dicembre	Aralık
maggio	Mayıs
novembre	Kasım
settembre	Eylül
zucchero	şeker
parete	duvar
chitarra	gitar
