czarny	черный
niebieski	синий
kot	кот
kawa	кофе
szary	серый
włosy	волосы
człon	член
pieniądze	деньги
matka	мать
usta	рот
nazwa	имя
noc	ночь
jeden	один
droga	дорога
ulica	улица
dwa	два
woda	вода
biały	белый
kobieta	женщина
rok	год
aktor	актер
autor	автор
miasto	город
dzień	день
oko	глаз
kwiat	цветок
miłość	любовь
spodnie	брюки
czerwony	красный
sklep	магазин
syn	сын
tekst	текст
dzięki	Спасибо
trzy	три
wieś	деревня
kamera	камера
kraj	страна
drzwi	дверь
samochód	машина
człowiek	мужчина
północ	север
ona	она
zespół	команда
głos	голос
okno	окно
koncert	концерт
silnik	двигатель
sto	сто
osoba	человек
telefon	телефон
tabela	стол
