azul	синий
computador	компьютер
ovo	яйцо
peixe	рыба
floresta	лес
cinza	серый
cabelo	волосы
casa	дом
cozinha	кухня
dinheiro	деньги
mãe	мать
boca	рот
música	музыка
noite	ночь
arroz	рис
estrada	дорога
rua	улица
água	вода
esposa	жена
mulher	женщина
ano	год
ator	актер
atriz	актриса
cerveja	пиво
livro	книга
queijo	сыр
cidade	город
relógio	часы
filha	дочь
pai	отец
fogo	огонь
jardim	сад
ilha	остров
rei	король
mês	месяц
notícias	Новости
pacote	упаковка
calça	брюки
irmã	сестра
loja	магазин
filho	сын
verão	лето
obrigado	Спасибо
trem	поезд
vinho	вино
pão	хлеб
irmão	брат
prédio	здание
câmera	камера
país	страна
porta	дверь
felicidade	счастье
chapéu	шапка
ele	он
honra	честь
marido	муж
lâmpada	лампа
folha	лист
máquina	машина
homem	мужчина
filme	фильм
precisar	нужда
norte	север
rio	река
ela	она
chá	чай
equipe	команда
voz	голос
janela	окно
