bicicleta	bisiklet
azul	mavi
computador	bilgisayar
cinza	gri
cabelo	saç
cozinha	mutfak
dinheiro	para
música	müzik
noite	gece
estrada	yol
rua	sokak
água	su
nós	biz
mulher	kadın
palavra	kelime
ano	yıl
agosto	Ağustos
batalha	savaş
cerveja	bira
livro	kitap
cidade	şehir
relógio	saat
fevereiro	Şubat
fogo	ateş
janeiro	Ocak
julho	Temmuz
junho	Haziran
rei	kral
outubro	Ekim
pacote	paket
calça	pantolon
verão	yaz
trem	tren
prédio	bina
porta	kapı
folha	yaprak
chá	çay
equipe	takım
voz	ses
abril	Nisan
banheiro	banyo
freio	fren
dezembro	Aralık
poderia	Mayıs
novembro	Kasım
setembro	Eylül
açúcar	şeker
parede	duvar
inverno	kış
