воздух	hava
черный	siyah
синий	mavi
кот	kedi
кофе	kahve
компьютер	bilgisayar
собака	köpek
четыре	dört
серый	gri
волосы	saç
кухня	mutfak
деньги	para
музыка	müzik
имя	isim
ночь	gece
один	bir
дорога	yol
школа	okul
улица	sokak
два	iki
вода	su
белый	beyaz
женщина	kadın
год	yıl
автор	yazar
пиво	bira
книга	kitap
город	şehir
часы	saat
день	gün
глаз	göz
огонь	ateş
пять	beş
цветок	çiçek
король	kral
любовь	aşk
упаковка	paket
брюки	pantolon
красный	kırmızı
шесть	altı
лето	yaz
три	üç
зуб	diş
поезд	tren
деревня	köy
здание	bina
дверь	kapı
лист	yaprak
чай	çay
команда	takım
голос	ses
кровать	yatak
птица	kuş
зеленый	yeşil
час	saat
сто	yüz
человек	kişi
розовый	pembe
море	deniz
стол	masa
